Date : 2022-06-17 21:13:27
Directory : c:\Users\menka\BachelorAngular
Total : 103 files,  3236 codes, 167 comments, 488 blanks, all 3891 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\app\shared\widgets\area                                                                          |          4 |         66 |          0 |         17 |         83 |
| src\app\shared\widgets\card                                                                          |          4 |        131 |          0 |         23 |        154 |
| src\app\shared\widgets\pie                                                                           |          4 |         79 |          0 |         16 |         95 |
| src\environments                                                                                     |          2 |          6 |         11 |          4 |         21 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                             | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\menka\BachelorAngular\.VSCodeCounter\2022-05-16_02-16-36\details.md                         | Markdown           |        114 |          0 |          6 |        120 |
| c:\Users\menka\BachelorAngular\.VSCodeCounter\2022-05-16_02-16-36\diff-details.md                    | Markdown           |          9 |          0 |          6 |         15 |
| c:\Users\menka\BachelorAngular\.VSCodeCounter\2022-05-16_02-16-36\diff.md                            | Markdown           |         12 |          0 |          7 |         19 |
| c:\Users\menka\BachelorAngular\.VSCodeCounter\2022-05-16_02-16-36\results.json                       | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\menka\BachelorAngular\.VSCodeCounter\2022-05-16_02-16-36\results.md                         | Markdown           |         47 |          0 |          7 |         54 |
| c:\Users\menka\BachelorAngular\.VSCodeCounter\2022-06-17_21-12-52\details.md                         | Markdown           |         14 |          0 |          6 |         20 |
| c:\Users\menka\BachelorAngular\.VSCodeCounter\2022-06-17_21-12-52\diff-details.md                    | Markdown           |        119 |          0 |          6 |        125 |
| c:\Users\menka\BachelorAngular\.VSCodeCounter\2022-06-17_21-12-52\diff.md                            | Markdown           |         51 |          0 |          7 |         58 |
| c:\Users\menka\BachelorAngular\.VSCodeCounter\2022-06-17_21-12-52\results.json                       | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\menka\BachelorAngular\.VSCodeCounter\2022-06-17_21-12-52\results.md                         | Markdown           |         15 |          0 |          7 |         22 |
| c:\Users\menka\BachelorAngular\README.md                                                             | Markdown           |          0 |          0 |          1 |          1 |
| c:\Users\menka\BachelorAngular\angular.json                                                          | JSON               |        110 |         20 |          0 |        130 |
| c:\Users\menka\BachelorAngular\e2e\protractor.conf.js                                                | JavaScript         |         24 |          6 |          2 |         32 |
| c:\Users\menka\BachelorAngular\e2e\src\app.e2e-spec.ts                                               | TypeScript         |         18 |          1 |          5 |         24 |
| c:\Users\menka\BachelorAngular\e2e\src\app.po.ts                                                     | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Users\menka\BachelorAngular\e2e\tsconfig.json                                                     | JSON with Comments |         13 |          0 |          1 |         14 |
| c:\Users\menka\BachelorAngular\karma.conf.js                                                         | JavaScript         |         29 |          2 |          2 |         33 |
| c:\Users\menka\BachelorAngular\src\app\app-routing.module.ts                                         | TypeScript         |         31 |          0 |          4 |         35 |
| c:\Users\menka\BachelorAngular\src\app\app.component.html                                            | HTML               |          1 |          0 |          0 |          1 |
| c:\Users\menka\BachelorAngular\src\app\app.component.scss                                            | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\menka\BachelorAngular\src\app\app.component.spec.ts                                         | TypeScript         |         31 |          0 |          5 |         36 |
| c:\Users\menka\BachelorAngular\src\app\app.component.ts                                              | TypeScript         |          9 |          0 |          6 |         15 |
| c:\Users\menka\BachelorAngular\src\app\app.module.ts                                                 | TypeScript         |         70 |          0 |          4 |         74 |
| c:\Users\menka\BachelorAngular\src\app\layouts\default\default.component.html                        | HTML               |         10 |          0 |          2 |         12 |
| c:\Users\menka\BachelorAngular\src\app\layouts\default\default.component.scss                        | SCSS               |         14 |          0 |          3 |         17 |
| c:\Users\menka\BachelorAngular\src\app\layouts\default\default.component.spec.ts                     | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BachelorAngular\src\app\layouts\default\default.component.ts                          | TypeScript         |         14 |          0 |          8 |         22 |
| c:\Users\menka\BachelorAngular\src\app\layouts\default\default.module.ts                             | TypeScript         |         30 |          0 |          2 |         32 |
| c:\Users\menka\BachelorAngular\src\app\modules\FTTaskForm.model.ts                                   | TypeScript         |          6 |          0 |          0 |          6 |
| c:\Users\menka\BachelorAngular\src\app\modules\MCTaskFrom.model.ts                                   | TypeScript         |          8 |          0 |          0 |          8 |
| c:\Users\menka\BachelorAngular\src\app\modules\MustMatch.ts                                          | TypeScript         |         28 |          0 |          4 |         32 |
| c:\Users\menka\BachelorAngular\src\app\modules\TaskCollectionForm.model.ts                           | TypeScript         |          7 |          0 |          0 |          7 |
| c:\Users\menka\BachelorAngular\src\app\modules\create-question\create-question.component.html        | HTML               |         78 |          2 |          6 |         86 |
| c:\Users\menka\BachelorAngular\src\app\modules\create-question\create-question.component.scss        | SCSS               |          9 |          0 |          2 |         11 |
| c:\Users\menka\BachelorAngular\src\app\modules\create-question\create-question.component.spec.ts     | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BachelorAngular\src\app\modules\create-question\create-question.component.ts          | TypeScript         |        158 |         10 |         11 |        179 |
| c:\Users\menka\BachelorAngular\src\app\modules\create-task-sheet\create-task-sheet.component.html    | HTML               |         28 |          0 |          0 |         28 |
| c:\Users\menka\BachelorAngular\src\app\modules\create-task-sheet\create-task-sheet.component.scss    | SCSS               |         10 |          0 |          3 |         13 |
| c:\Users\menka\BachelorAngular\src\app\modules\create-task-sheet\create-task-sheet.component.spec.ts | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BachelorAngular\src\app\modules\create-task-sheet\create-task-sheet.component.ts      | TypeScript         |         62 |          0 |          6 |         68 |
| c:\Users\menka\BachelorAngular\src\app\modules\dashboard.service.spec.ts                             | TypeScript         |          9 |          0 |          4 |         13 |
| c:\Users\menka\BachelorAngular\src\app\modules\dashboard.service.ts                                  | TypeScript         |         52 |          0 |          6 |         58 |
| c:\Users\menka\BachelorAngular\src\app\modules\dashboard\dashboard.component.html                    | HTML               |         42 |          4 |         17 |         63 |
| c:\Users\menka\BachelorAngular\src\app\modules\dashboard\dashboard.component.scss                    | SCSS               |          8 |          0 |          2 |         10 |
| c:\Users\menka\BachelorAngular\src\app\modules\dashboard\dashboard.component.spec.ts                 | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BachelorAngular\src\app\modules\dashboard\dashboard.component.ts                      | TypeScript         |         51 |          0 |         10 |         61 |
| c:\Users\menka\BachelorAngular\src\app\modules\signin.service.ts                                     | TypeScript         |         95 |          5 |         15 |        115 |
| c:\Users\menka\BachelorAngular\src\app\modules\signin\signin.component.html                          | HTML               |         97 |          2 |          6 |        105 |
| c:\Users\menka\BachelorAngular\src\app\modules\signin\signin.component.scss                          | SCSS               |         16 |          0 |          3 |         19 |
| c:\Users\menka\BachelorAngular\src\app\modules\signin\signin.component.spec.ts                       | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BachelorAngular\src\app\modules\signin\signin.component.ts                            | TypeScript         |         99 |          1 |         22 |        122 |
| c:\Users\menka\BachelorAngular\src\app\modules\taskSheet.model.ts                                    | TypeScript         |          6 |          0 |          0 |          6 |
| c:\Users\menka\BachelorAngular\src\app\modules\tasksheetoverview\tasksheetoverview.component.html    | HTML               |         27 |          4 |          8 |         39 |
| c:\Users\menka\BachelorAngular\src\app\modules\tasksheetoverview\tasksheetoverview.component.scss    | SCSS               |         27 |          0 |          4 |         31 |
| c:\Users\menka\BachelorAngular\src\app\modules\tasksheetoverview\tasksheetoverview.component.spec.ts | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BachelorAngular\src\app\modules\tasksheetoverview\tasksheetoverview.component.ts      | TypeScript         |        132 |          8 |         20 |        160 |
| c:\Users\menka\BachelorAngular\src\app\modules\tasksheetspecific\tasksheetspecific.component.html    | HTML               |         34 |          4 |          8 |         46 |
| c:\Users\menka\BachelorAngular\src\app\modules\tasksheetspecific\tasksheetspecific.component.scss    | SCSS               |         35 |          0 |          4 |         39 |
| c:\Users\menka\BachelorAngular\src\app\modules\tasksheetspecific\tasksheetspecific.component.spec.ts | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BachelorAngular\src\app\modules\tasksheetspecific\tasksheetspecific.component.ts      | TypeScript         |        111 |          3 |          6 |        120 |
| c:\Users\menka\BachelorAngular\src\app\modules\teacher.model.ts                                      | TypeScript         |          8 |          0 |          0 |          8 |
| c:\Users\menka\BachelorAngular\src\app\modules\update-question\update-question.component.html        | HTML               |         77 |          1 |          6 |         84 |
| c:\Users\menka\BachelorAngular\src\app\modules\update-question\update-question.component.scss        | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\menka\BachelorAngular\src\app\modules\update-question\update-question.component.spec.ts     | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BachelorAngular\src\app\modules\update-question\update-question.component.ts          | TypeScript         |        122 |          2 |         15 |        139 |
| c:\Users\menka\BachelorAngular\src\app\shared.service.spec.ts                                        | TypeScript         |          9 |          0 |          4 |         13 |
| c:\Users\menka\BachelorAngular\src\app\shared.service.ts                                             | TypeScript         |         76 |         20 |          7 |        103 |
| c:\Users\menka\BachelorAngular\src\app\shared\components\footer\footer.component.html                | HTML               |          3 |          0 |          1 |          4 |
| c:\Users\menka\BachelorAngular\src\app\shared\components\footer\footer.component.scss                | SCSS               |          3 |          0 |          1 |          4 |
| c:\Users\menka\BachelorAngular\src\app\shared\components\footer\footer.component.spec.ts             | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BachelorAngular\src\app\shared\components\footer\footer.component.ts                  | TypeScript         |         11 |          0 |          5 |         16 |
| c:\Users\menka\BachelorAngular\src\app\shared\components\header\header.component.html                | HTML               |         33 |          0 |          5 |         38 |
| c:\Users\menka\BachelorAngular\src\app\shared\components\header\header.component.scss                | SCSS               |          6 |          0 |          0 |          6 |
| c:\Users\menka\BachelorAngular\src\app\shared\components\header\header.component.spec.ts             | TypeScript         |         20 |          0 |          4 |         24 |
| c:\Users\menka\BachelorAngular\src\app\shared\components\header\header.component.ts                  | TypeScript         |         36 |          1 |         13 |         50 |
| c:\Users\menka\BachelorAngular\src\app\shared\components\sidebar\sidebar.component.html              | HTML               |         24 |          0 |          7 |         31 |
| c:\Users\menka\BachelorAngular\src\app\shared\components\sidebar\sidebar.component.scss              | SCSS               |         16 |          0 |          1 |         17 |
| c:\Users\menka\BachelorAngular\src\app\shared\components\sidebar\sidebar.component.spec.ts           | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BachelorAngular\src\app\shared\components\sidebar\sidebar.component.ts                | TypeScript         |         29 |          0 |          4 |         33 |
| c:\Users\menka\BachelorAngular\src\app\shared\shared.module.ts                                       | TypeScript         |         48 |          0 |          2 |         50 |
| c:\Users\menka\BachelorAngular\src\app\shared\widgets\area\area.component.html                       | HTML               |          2 |          0 |          0 |          2 |
| c:\Users\menka\BachelorAngular\src\app\shared\widgets\area\area.component.scss                       | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\menka\BachelorAngular\src\app\shared\widgets\area\area.component.spec.ts                    | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BachelorAngular\src\app\shared\widgets\area\area.component.ts                         | TypeScript         |         44 |          0 |         10 |         54 |
| c:\Users\menka\BachelorAngular\src\app\shared\widgets\card\card.component.html                       | HTML               |         16 |          0 |          4 |         20 |
| c:\Users\menka\BachelorAngular\src\app\shared\widgets\card\card.component.scss                       | SCSS               |         17 |          0 |          4 |         21 |
| c:\Users\menka\BachelorAngular\src\app\shared\widgets\card\card.component.spec.ts                    | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BachelorAngular\src\app\shared\widgets\card\card.component.ts                         | TypeScript         |         78 |          0 |          9 |         87 |
| c:\Users\menka\BachelorAngular\src\app\shared\widgets\pie\pie.component.html                         | HTML               |          2 |          0 |          0 |          2 |
| c:\Users\menka\BachelorAngular\src\app\shared\widgets\pie\pie.component.scss                         | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\menka\BachelorAngular\src\app\shared\widgets\pie\pie.component.spec.ts                      | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BachelorAngular\src\app\shared\widgets\pie\pie.component.ts                           | TypeScript         |         57 |          0 |          9 |         66 |
| c:\Users\menka\BachelorAngular\src\environments\environment.prod.ts                                  | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\menka\BachelorAngular\src\environments\environment.ts                                       | TypeScript         |          3 |         11 |          3 |         17 |
| c:\Users\menka\BachelorAngular\src\index.html                                                        | HTML               |         26 |          0 |          2 |         28 |
| c:\Users\menka\BachelorAngular\src\main.ts                                                           | TypeScript         |         10 |          0 |          4 |         14 |
| c:\Users\menka\BachelorAngular\src\polyfills.ts                                                      | TypeScript         |          1 |         55 |          8 |         64 |
| c:\Users\menka\BachelorAngular\src\styles.scss                                                       | SCSS               |          4 |          1 |          3 |          8 |
| c:\Users\menka\BachelorAngular\src\test.ts                                                           | TypeScript         |         13 |          4 |          4 |         21 |
| c:\Users\menka\BachelorAngular\tsconfig.app.json                                                     | JSON               |         14 |          0 |          1 |         15 |
| c:\Users\menka\BachelorAngular\tsconfig.json                                                         | JSON with Comments |         24 |          0 |          1 |         25 |
| c:\Users\menka\BachelorAngular\tsconfig.spec.json                                                    | JSON               |         18 |          0 |          1 |         19 |
| c:\Users\menka\BachelorAngular\tslint.json                                                           | JSON               |         92 |          0 |          0 |         92 |
| Total                                                                                                |                    |      3,236 |        167 |        488 |      3,891 |
+------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
